
Full Link Report

Report Save Time: 2024-10-04 09:00:31   |   End Date: 2024-10-04 00:00:00

Link Name,Site A Name,Site A Location,Site A IP,Site A Physical Port,Site Z Name,Site Z Location,Site Z IP,Site Z Physical Port,Link Configuration,Site A Radio,Site Z Radio,Site A Tx Freq [MHz],Site Z Tx Freq [MHz],Site A Tx Freq Min [MHz],Site Z Tx Freq Min [MHz],Site A Tx Freq Max [MHz],Site Z Tx Freq Max [MHz],ATPC,Site A Radio Link ID,Site Z Radio Link ID,Site A Max Power (Preset) [dBm],Site Z Max Power (Preset) [dBm],Site A Tx Power (Current) [dBm],Site Z Tx Power (Current) [dBm],Site A Rx Level (Current) [dBm],Site Z Rx Level (Current) [dBm],Site A Max Tx Power (Last 24 h) [dBm],Site Z Max Tx Power (Last 24 h) [dBm],Site A Min Tx Power (Last 24 h) [dBm],Site Z Min Tx Power (Last 24 h) [dBm],Site A Max Rx Level (Last 24 h) [dBm],Site Z Max Rx Level (Last 24 h) [dBm],Site A Min Rx Level (Last 24 h) [dBm],Site Z Min Rx Level (Last 24 h) [dBm],Site A Radio Script,Site Z Radio Script,MRMC Script Operational Mode,MRMC Script Profile,MRMC Script Maximum Profile,MRMC Script Minimum Profile,Site A MRMC Threshold 1,Site Z MRMC Threshold 1,Site A MRMC Threshold 2,Site Z MRMC Threshold 2,Site A Above MRMC Threshold 1 (Last 24 h) [sec],Site Z Above MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 1 (Last 24 h) [sec],Site Z Below MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 2 (Last 24 h) [sec],Site Z Below MRMC Threshold 2 (Last 24 h) [sec],Site A Radio Script Max Capacity [Mb/s],Site Z Radio Script Max Capacity [Mb/s],Site A Max HW Radio Capacity [Mb/s],Site Z Max HW Radio Capacity [Mb/s],Total Link Supported Capacity [Mb/s],Site A Max Ethernet Capacity [Mb/s],Site Z Max Ethernet Capacity [Mb/s],Site A Peak Capacity (Last 24 h) [Mb/s],Site Z Peak Capacity (Last 24 h) [Mb/s],Site A Avg Capacity (Last 24 h) [Mb/s],Site Z Avg Capacity (Last 24 h) [Mb/s],Site A Capacity Exceeded (Last 24 h) [sec],Site Z Capacity Exceeded (Last 24 h) [sec],Site A Peak Throughput (Last 24 h) [Mb/s],Site Z Peak Throughput (Last 24 h) [Mb/s],Site A Avg Throughput (Last 24 h) [Mb/s],Site Z Avg Throughput (Last 24 h) [Mb/s],Site A Min Throughput (Last 24 h) [Mb/s],Site Z Min Throughput (Last 24 h) [Mb/s],Site A Throughput Exceeded (Last 24 h) [sec],Site Z Throughput Exceeded (Last 24 h) [sec],Site A Peak Utilization (Last 24 h) [%],Site Z Peak Utilization (Last 24 h) [%],Site A Avg Utilization (Last 24 h) [%],Site Z Avg Utilization (Last 24 h) [%],Site A Utilization Threshold 1,Site Z Utilization Threshold 1,Site A Utilization Threshold 2,Site Z Utilization Threshold 2,Site A Utilization Threshold 3,Site Z Utilization Threshold 3,Site A Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site A Below Utilization Threshold 3 (Last 24 h) [sec],Site Z Below Utilization Threshold 3 (Last 24 h) [sec],Site A Max E1/T1,Site Z Max E1/T1,Site A Active E1/T1,Site Z Active E1/T1,Site A E1/T1 Utilization [%],Site Z E1/T1 Utilization [%],Site A Frame Error Rate (Last 24 h) [%],Site Z Frame Error Rate (Last 24 h) [%]
"INKL203641_TRSR_I_C_I2C1 - INKL024099_TRSR_I_C_I2C2","INKL203641_TRSR_I_C_I2C1","INKL203641","2402:8100:4000:0:0:1:1f40:1f05","Slot 2 / Port 2","INKL024099_TRSR_I_C_I2C2","INKL024099","2402:8100:4000:0:0:1:1f40:1f04","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14963","14543","14921","14501","15145","14725","Disable","1","1","18","18","14","14","-35","-32","14","14","14","14","-34","-31","-36","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","54","222","8","73","0","0","52","218","7","71","0","0","0","0","10","45","1","14","100","0","0","0","0","0","0","0","67027","83156","0","0","19373","3244","135","135","0","0","0","0","0","0"
"INKL300299_PAZG_I_C_I2C1 - INKL215905_PAZG_I_C_I2C1","INKL300299_PAZG_I_C_I2C1","INKL300299","2402:8100:4000:0:0:1:1f40:b55","Slot 2 / Port 2","INKL215905_PAZG_I_C_I2C1","INKL215905","2402:8100:4000:0:0:1:1f40:b54","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","20","20","18","18","-34","-33","18","18","18","18","-33","-32","-35","-35","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","56","293","8","79","0","0","55","289","7","77","0","0","0","0","12","64","1","16","0","0","0","0","0","0","0","0","65773","82288","0","0","20626","4112","125","125","0","0","0","0","0","0"
"IDKA103416_KBAN_I_C_I2C1 - INKA007663_KBAN_I_C_I2C2","IDKA103416_KBAN_I_C_I2C1","IDKA103416","2402:8100:4000:0:0:f:1f00:5a7","Slot 2 / Port 1","INKA007663_KBAN_I_C_I2C2","INKA007663","2402:8100:4000:0:0:f:1f00:5a6","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15159","14739","15117","14697","15341","14921","Disable","1","1","18","18","6","6","-30","-31","6","6","6","6","-30","-30","-32","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","33","124","1","18","74509","81292","32","122","1","18","0","0","72016","81079","6","25","0","3","0","0","0","0","0","0","0","0","7998","74165","0","0","78402","12234","135","135","0","0","0","0","0","0"
"INKA204317_KBAN_I_C_I2C1 - INKA200974_KBAN_I_C_I2C3","INKA204317_KBAN_I_C_I2C1","INKA204317","2402:8100:4000:0:0:f:1f00:24cd","Slot 2 / Port 1","INKA200974_KBAN_I_C_I2C3","INKA200974","2402:8100:4000:0:0:f:1f00:24cc","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15159","14739","15117","14697","15341","14921","Disable","1","1","18","18","6","6","-32","-29","6","6","6","6","-26","-29","-91","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","85500","85480","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86400","85480","135","135","0","0","0","0","0","0"
"INKL215906_SITA_I_C_I2C1 - IDKL104552_SITA_I_C_I2C1","INKL215906_SITA_I_C_I2C1","INKL215906","2402:8100:4000:0:0:1:1f40:b11","Slot 2 / Port 2","IDKL104552_SITA_I_C_I2C1","IDKL104552","2402:8100:4000:0:0:1:1f40:b10","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14963","14543","14921","14501","15145","14725","Disable","1","1","18","18","16","16","-30","-29","16","16","16","16","-29","-29","-30","-30","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","50","263","9","94","0","0","49","259","8","93","0","0","0","0","10","53","1","18","0","0","0","0","0","0","0","0","69321","85374","0","0","17078","1025","135","135","0","0","0","0","0","0"
"INKA007181_KBAN_I_C_I2C2 - INKA009263_KBAN_I_C_I2C1","INKA007181_KBAN_I_C_I2C2","INKA007181","2402:8100:4000:0:0:f:1f00:92c","Slot 2 / Port 1","INKA009263_KBAN_I_C_I2C1","INKA009263","2402:8100:4000:0:0:f:1f00:92b","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14739","15159","14697","15117","14921","15341","Disable","1","1","18","18","8","8","-31","-32","8","8","8","8","-30","-31","-32","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","365","53","78","8","0","0","360","52","76","7","0","0","0","0","74","10","15","1","0","0","0","0","0","0","0","0","81099","63747","0","0","5301","22652","135","135","0","0","0","0","0","0"
"IDKL107052_TIRU_I_C_I2C1 - INKL021394_TIRU_I_C_I2C1","IDKL107052_TIRU_I_C_I2C1","IDKL107052","2402:8100:4000:0:0:1:1f40:803","Slot 2 / Port 2","INKL021394_TIRU_I_C_I2C1","IDKL105632","2402:8100:4000:0:0:1:1f40:802","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14529","14949","14501","14921","14725","15145","Disable","1","1","20","20","13","13","-35","-35","13","13","13","13","-34","-34","-36","-36","mdN_A5656X_121_1502","mdN_A5656X_121_1502","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","489.311","489.311","672.601","672.601","672.601","464.85","464.85","75","326","14","114","0","0","73","321","13","112","0","0","0","0","7","34","0","11","0","0","0","0","0","0","0","0","64122","81578","0","0","22277","4821","258","258","0","0","0","0","0","0"
"IDKL106304_MUVA_I_C_I2C1 - INKL041803_MUVA_I_C_I2C1","IDKL106304_MUVA_I_C_I2C1","IDKL106304","2402:8100:4000:0:0:1:1f40:1111","Slot 2 / Port 2","INKL041803_MUVA_I_C_I2C1","INKL041803","2402:8100:4000:0:0:1:1f40:1110","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14963","14543","14921","14501","15145","14725","Disable","1","1","20","20","18","18","-33","-35","18","18","18","18","-33","-34","-34","-35","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","6","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","182.23","182.23","57","239","6","71","0","0","55","236","5","69","0","0","0","0","15","65","1","18","0","100","0","0","0","0","0","0","68695","84899","0","0","17705","1501","101","101","0","0","0","0","0","0"
"INKA000628_KBAN_I_C_I2C2 - INKA003535_KBAN_I_C_I2C1","INKA000628_KBAN_I_C_I2C2","INKA000628","2402:8100:4000:0:0:f:1f00:167","Slot 2 / Port 2","INKA003535_KBAN_I_C_I2C1","INKA003535","2402:8100:4000:0:0:f:1f00:166","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14767","15187","14697","15117","14921","15341","Disable","1","1","18","18","2","2","-31","-31","2","2","2","2","-29","-29","-37","-37","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","9","5","0","0","0","0","9","5","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1448","26","0","0","84951","86373","135","135","0","0","0","0","0","0"
"INKA005843_KBAN_I_C_I2C1 - INKA003859_KBAN_I_C_I2C3","INKA005843_KBAN_I_C_I2C1","INKA005843","2402:8100:4000:0:0:f:1f00:2da7","Slot 2 / Port 2","INKA003859_KBAN_I_C_I2C3","INKA003859","2402:8100:4000:0:0:f:1f00:2da6","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14739","15159","14697","15117","14921","15341","Disable","1","1","18","18","8","8","-31","-31","8","8","8","8","-30","-29","-36","-35","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","79","167","3","34","0","0","77","164","3","33","0","0","0","0","16","34","0","6","0","0","0","0","0","0","0","0","34532","78941","0","0","51867","7458","135","135","0","0","0","0","0","0"
"INKL301187_TRVM_I_C_I2C1 - INKL094315_TRVM_I_C_I2C1","INKL301187_TRVM_I_C_I2C1","INKL301187","2402:8100:4000:0:0:1:1f40:16d1","Slot 2 / Port 2","INKL094315_TRVM_I_C_I2C1","INKL094315","2402:8100:4000:0:0:1:1f40:16d0","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","21238","22470","21200","22400","21800","23020","Disable","1","1","16","16","2","2","-32","-32","2","2","2","2","-30","-31","-41","-41","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","54","190","1","17","0","0","53","186","1","17","0","0","0","0","11","38","0","2","0","0","0","0","0","0","0","0","6409","70859","0","0","79990","15540","135","135","0","0","0","0","0","0"
"INKA001953_KBAN_I_C_I2C1 - INKA204748_KBAN_I_C_I2C1","INKA001953_KBAN_I_C_I2C1","INKA001953","2402:8100:4000:0:0:f:1f00:da3","Slot 2 / Port 2","INKA204748_KBAN_I_C_I2C1","INKA204748","2402:8100:4000:0:0:f:1f00:da2","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","18","18","17","17","-31","-30","17","17","17","17","-30","-29","-32","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","111","42","17","1","0","0","109","41","17","0","0","0","0","0","22","8","2","0","0","0","0","0","0","0","0","0","68577","3033","0","0","17822","83366","135","135","0","0","0","0","0","0"
"IDKL100613_MOOK_I_C_I2C1 - INKL076741_MOOK_I_C_I2C1","IDKL100613_MOOK_I_C_I2C1","IDKL100613","2402:8100:4000:0:0:1:1f40:703","Slot 2 / Port 2","INKL076741_MOOK_I_C_I2C1","IDKL107115","2402:8100:4000:0:0:1:1f40:702","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14935","14515","14921","14501","15145","14725","Disable","1","1","18","18","12","12","-30","-31","12","12","12","12","-30","-30","-31","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","49","317","11","109","0","0","47","311","10","107","0","0","0","0","9","64","1","21","0","0","0","0","0","0","0","0","69746","85732","0","0","16654","668","135","135","0","0","0","0","0","0"
"INKL057165_VEMB_I_C_I2C1 - INKL054494_VEMB_I_C_I2C2","INKL057165_VEMB_I_C_I2C1","INKL057165","2402:8100:4000:0:0:1:1f40:34e3","Slot 2 / Port 2","INKL054494_VEMB_I_C_I2C2","INKL054494","2402:8100:4000:0:0:1:1f40:34e2","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","18","18","15","15","-33","-33","15","15","15","15","-32","-32","-43","-42","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","47","194","5","48","0","0","46","191","4","47","0","0","0","0","9","39","0","9","0","0","0","0","0","0","0","0","54587","79675","0","0","31812","6724","135","135","0","0","0","0","0","0"
"INKL007773_KOND_I_C_I2C1 - INKL051094_KOND_I_C_I2C1","INKL007773_KOND_I_C_I2C1","INKL051094","2402:8100:4000:0:0:1:1f40:e83","Slot 2 / Port 2","INKL051094_KOND_I_C_I2C1","INKL007773","2402:8100:4000:0:0:1:1f40:e82","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","20","20","18","18","-33","-34","18","18","18","18","-32","-33","-34","-36","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","8","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","213.6","213.6","301","51","97","10","0","0","296","49","96","9","0","0","0","0","69","11","22","1","0","0","0","0","0","0","0","0","82775","69144","0","0","3624","17256","118","118","0","0","0","0","0","0"
"IDKA104899_KBAN_I_C_I2C1 - IDKA104317_KBAN_I_C_I2C2","IDKA104899_KBAN_I_C_I2C1","IDKA104899","2402:8100:4000:0:0:f:1f00:2107","Slot 2 / Port 2","IDKA104317_KBAN_I_C_I2C2","IDKA104317","2402:8100:4000:0:0:f:1f00:2106","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","18","18","7","7","-28","-27","7","7","7","7","-28","-26","-31","-29","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","58","160","5","51","0","0","57","158","4","50","0","0","0","0","11","32","0","9","0","0","0","0","0","0","0","0","58623","84415","0","0","27776","1985","135","135","0","0","0","0","0","0"
"INKL035971_KANN_I_C_I2C1 - INKL000265_KANN_I_C_I2C2","INKL035971_KANN_I_C_I2C1","INKL035971","2402:8100:4000:0:0:1:1f40:2013","Slot 2 / Port 1","INKL000265_KANN_I_C_I2C2","INKL000265","2402:8100:4000:0:0:1:1f40:2012","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","20","20","12","12","-30","-31","12","12","12","12","-29","-30","-31","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","63","299","6","62","0","0","61","294","5","61","0","0","0","0","13","65","0","12","0","0","0","0","0","0","0","0","61998","78280","0","0","24401","8119","125","125","0","0","0","0","0","0"
"INKL075976_TRVM_I_C_I2C1 - IDKL104710_TRVM_I_C_I2C1","INKL075976_TRVM_I_C_I2C1","INKL075976","2402:8100:4000:0:0:1:1f40:1b61","Slot 2 / Port 2","IDKL104710_TRVM_I_C_I2C1","IDKL104710","2402:8100:4000:0:0:1:1f40:1b60","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14697","15117","14921","15341","Disable","1","1","18","18","14","14","-29","-29","14","14","14","14","-29","-29","-39","-38","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","65","230","7","64","0","0","63","226","6","62","0","0","0","0","13","46","0","12","0","0","0","0","0","0","0","0","66836","83723","0","0","19563","2676","135","135","0","0","0","0","0","0"
"IDKA108319_KBAN_I_C_I2C1 - IDKA102326_KBAN_I_C_I2C2","IDKA108319_KBAN_I_C_I2C1","IDKA108319","2402:8100:4000:0:0:f:1f00:34e","Slot 2 / Port 1","IDKA102326_KBAN_I_C_I2C2","N/A","2402:8100:4000:0:0:f:1f00:34d","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15187","14767","15117","14697","15341","14921","Disable","1","1","18","18","18","18","-36","-35","18","18","18","18","-34","-33","-37","-36","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","34","122","0","8","0","72037","34","120","0","7","0","0","0","71519","7","25","0","1","100","100","0","0","0","0","0","0","952","53433","0","0","85447","32966","135","135","0","0","0","0","0","0"
"INKA008933_KBAN_I_C_I2C3 - INKA205209_KBAN_I_C_I2C1","INKA008933_KBAN_I_C_I2C3","INKA008933","2402:8100:4000:0:0:f:1f00:222b","Slot 2 / Port 1","INKA205209_KBAN_I_C_I2C1","INKA205209","2402:8100:4000:0:0:f:1f00:222a","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","18","18","14","14","-32","-31","14","14","14","14","-32","-31","-35","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","127","25","17","1","0","0","125","25","17","1","0","0","0","0","26","5","2","0","100","100","0","0","0","0","0","0","71023","6077","0","0","15377","80323","135","135","0","0","0","0","0","0"
"INKL301913_EDAK_I_C_I2C1 - INKL047811_EDAR_I_C_I2C1","INKL301913_EDAK_I_C_I2C1","INKL301913","2402:8100:4000:0:0:1:1f40:971","Slot 2 / Port 1","INKL047811_EDAR_I_C_I2C1","INKL047811","2402:8100:4000:0:0:1:1f40:970","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","20","20","18","18","-34","-33","18","18","18","18","-32","-31","-36","-35","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","44","375","7","73","0","0","42","369","7","71","0","0","0","0","9","81","0","15","0","0","0","0","0","0","0","0","66796","81405","0","0","19604","4994","125","125","0","0","0","0","0","0"
"INKA202611_KBAN_I_C_I2C1 - IDKA101696_KBAN_I_C_I2C2","INKA202611_KBAN_I_C_I2C1","BAN7608","2402:8100:4000:0:0:f:1f00:263","Slot 2 / Port 2","IDKA101696_KBAN_I_C_I2C2","IDKA101696","2402:8100:4000:0:0:f:1f00:262","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14739","15159","14697","15117","14921","15341","Disable","1","1","20","20","18","18","-37","-38","18","18","18","18","-36","-37","-43","-44","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","7","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","200.96","200.96","152","190","6","45","85540","0","149","187","6","44","0","0","84823","0","37","46","1","10","0","0","0","0","0","0","0","0","70122","83134","0","0","16277","3265","111","111","0","0","0","0","0","0"
"IDKL100213_PALO_I_C_I2C1 - IDKL105029_PALO_I_C_I2C1","IDKL100213_PALO_I_C_I2C1","IDKL100213","2402:8100:4000:0:0:1:1f40:15b1","Slot 2 / Port 2","IDKL105029_PALO_I_C_I2C1","IDKL105029","2402:8100:4000:0:0:1:1f40:15b0","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14935","14515","14921","14501","15145","14725","Disable","1","1","20","20","16","16","-32","-33","16","16","16","16","-32","-32","-48","-50","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","8","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","213.6","213.6","84","313","14","108","0","0","81","308","13","105","0","0","0","0","19","72","2","24","0","0","0","0","0","0","0","0","73447","86020","0","0","12952","379","118","118","0","0","0","0","0","0"
"INKL080515_MEPP_I_C_I2C1 - INKL004347_MEPP_I_C_I2C3","INKL080515_MEPP_I_C_I2C1","INKL080515","2402:8100:4000:0:0:1:1f40:df","Slot 2 / Port 1","INKL004347_MEPP_I_C_I2C3","INKL004347","2402:8100:4000:0:0:1:1f40:de","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","18","18","14","14","-32","-32","14","14","14","14","-31","-32","-32","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","76","296","10","79","0","0","74","291","9","77","0","0","0","0","15","60","1","15","0","0","0","0","0","0","0","0","56666","75592","0","0","29733","10807","135","135","0","0","0","0","0","0"
"INKL248295_CRPU_I_C_I2C1 - INKL000308_IRIN_I_C_I2C1","INKL248295_CRPU_I_C_I2C1","INKL248295","2402:8100:4000:0:0:1:1f40:1dd1","Slot 2 / Port 1","INKL000308_IRIN_I_C_I2C1","INKL000308","2402:8100:4000:0:0:1:1f40:1dd0","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14543","14963","14501","14921","14725","15145","Disable","1","1","20","20","17","17","-36","-37","17","17","17","17","-35","-36","-38","-39","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","48","255","7","75","0","0","46","251","7","74","0","0","0","0","10","55","1","15","0","0","0","0","0","0","0","0","67146","83313","0","0","19253","3086","125","125","0","0","0","0","0","0"
"INKL011477_NADA_I_C_I2C1 - INKL090404_NADA_I_C_I2C2","INKL011477_NADA_I_C_I2C1","INKL011477","2402:8100:4000:0:0:1:1f40:171","Slot 2 / Port 1","INKL090404_NADA_I_C_I2C2","INKL090404","2402:8100:4000:0:0:1:1f40:170","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14963","14543","14921","14501","15145","14725","Disable","1","1","18","18","16","16","-32","-31","16","16","16","16","-32","-31","-33","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","83","493","27","236","0","0","79","484","25","232","0","0","0","0","16","100","4","47","0","0","0","0","0","0","0","0","77103","86165","0","0","9297","235","135","135","0","0","0","0","0","0"
"INKL218300_NORT_I_C_I2C1 - INKL302733_NORT_I_C_I2C2","INKL218300_NORT_I_C_I2C1","INKL218300","2402:8100:4000:0:0:1:1f40:763","Slot 2 / Port 1","INKL302733_NORT_I_C_I2C2","INKL302733","2402:8100:4000:0:0:1:1f40:762","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14543","14963","14501","14921","14725","15145","Disable","1","1","18","18","14","14","-33","-33","14","14","14","14","-32","-32","-35","-34","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","42","248","6","59","0","0","41","244","5","58","0","0","0","0","8","55","0","12","0","0","0","0","0","0","0","0","61835","82410","0","0","24564","3989","135","135","0","0","0","0","0","0"
