
Full Link Report

Report Save Time: 2024-10-04 09:00:31   |   End Date: 2024-10-04 00:00:00

Link Name,Site A Name,Site A Location,Site A IP,Site A Physical Port,Site Z Name,Site Z Location,Site Z IP,Site Z Physical Port,Link Configuration,Site A Radio,Site Z Radio,Site A Tx Freq [MHz],Site Z Tx Freq [MHz],Site A Tx Freq Min [MHz],Site Z Tx Freq Min [MHz],Site A Tx Freq Max [MHz],Site Z Tx Freq Max [MHz],ATPC,Site A Radio Link ID,Site Z Radio Link ID,Site A Max Power (Preset) [dBm],Site Z Max Power (Preset) [dBm],Site A Tx Power (Current) [dBm],Site Z Tx Power (Current) [dBm],Site A Rx Level (Current) [dBm],Site Z Rx Level (Current) [dBm],Site A Max Tx Power (Last 24 h) [dBm],Site Z Max Tx Power (Last 24 h) [dBm],Site A Min Tx Power (Last 24 h) [dBm],Site Z Min Tx Power (Last 24 h) [dBm],Site A Max Rx Level (Last 24 h) [dBm],Site Z Max Rx Level (Last 24 h) [dBm],Site A Min Rx Level (Last 24 h) [dBm],Site Z Min Rx Level (Last 24 h) [dBm],Site A Radio Script,Site Z Radio Script,MRMC Script Operational Mode,MRMC Script Profile,MRMC Script Maximum Profile,MRMC Script Minimum Profile,Site A MRMC Threshold 1,Site Z MRMC Threshold 1,Site A MRMC Threshold 2,Site Z MRMC Threshold 2,Site A Above MRMC Threshold 1 (Last 24 h) [sec],Site Z Above MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 1 (Last 24 h) [sec],Site Z Below MRMC Threshold 1 (Last 24 h) [sec],Site A Below MRMC Threshold 2 (Last 24 h) [sec],Site Z Below MRMC Threshold 2 (Last 24 h) [sec],Site A Radio Script Max Capacity [Mb/s],Site Z Radio Script Max Capacity [Mb/s],Site A Max HW Radio Capacity [Mb/s],Site Z Max HW Radio Capacity [Mb/s],Total Link Supported Capacity [Mb/s],Site A Max Ethernet Capacity [Mb/s],Site Z Max Ethernet Capacity [Mb/s],Site A Peak Capacity (Last 24 h) [Mb/s],Site Z Peak Capacity (Last 24 h) [Mb/s],Site A Avg Capacity (Last 24 h) [Mb/s],Site Z Avg Capacity (Last 24 h) [Mb/s],Site A Capacity Exceeded (Last 24 h) [sec],Site Z Capacity Exceeded (Last 24 h) [sec],Site A Peak Throughput (Last 24 h) [Mb/s],Site Z Peak Throughput (Last 24 h) [Mb/s],Site A Avg Throughput (Last 24 h) [Mb/s],Site Z Avg Throughput (Last 24 h) [Mb/s],Site A Min Throughput (Last 24 h) [Mb/s],Site Z Min Throughput (Last 24 h) [Mb/s],Site A Throughput Exceeded (Last 24 h) [sec],Site Z Throughput Exceeded (Last 24 h) [sec],Site A Peak Utilization (Last 24 h) [%],Site Z Peak Utilization (Last 24 h) [%],Site A Avg Utilization (Last 24 h) [%],Site Z Avg Utilization (Last 24 h) [%],Site A Utilization Threshold 1,Site Z Utilization Threshold 1,Site A Utilization Threshold 2,Site Z Utilization Threshold 2,Site A Utilization Threshold 3,Site Z Utilization Threshold 3,Site A Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 1 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 2 (Last 24 h) [sec],Site A Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site Z Exceeding Utilization Threshold 3 (Last 24 h) [sec],Site A Below Utilization Threshold 3 (Last 24 h) [sec],Site Z Below Utilization Threshold 3 (Last 24 h) [sec],Site A Max E1/T1,Site Z Max E1/T1,Site A Active E1/T1,Site Z Active E1/T1,Site A E1/T1 Utilization [%],Site Z E1/T1 Utilization [%],Site A Frame Error Rate (Last 24 h) [%],Site Z Frame Error Rate (Last 24 h) [%]
"INKA005734_KBAN_I_C_I2C1 - INKA002242_KBAN_I_C_I2C1","INKA005734_KBAN_I_C_I2C1","N/A","2402:8100:4000:0:0:f:1f00:e3","Slot 2 / Port 1","INKA002242_KBAN_I_C_I2C1","INKA002242","2402:8100:4000:0:0:f:1f00:e2","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15327","14907","15117","14697","15341","14921","Disable","1","1","18","18","2","2","-34","-34","2","2","2","2","-33","-33","-39","-39","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","47","208","8","44","86123","86356","45","205","7","43","0","0","85673","86328","9","42","0","8","0","0","0","0","0","0","0","0","66443","85316","0","0","19956","1083","135","135","0","0","0","0","0","0"
"INKA003796_KBAN_I_C_I2C1 - IDKA102807_KBAN_I_C_I2C2","INKA003796_KBAN_I_C_I2C1","INKA003796","2402:8100:4000:0:0:f:1f00:26ea","Slot 2 / Port 2","IDKA102807_KBAN_I_C_I2C2","IDKA102807","2402:8100:4000:0:0:f:1f00:26e9","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15187","14767","15117","14697","15341","14921","Disable","1","1","18","18","2","2","-28","-27","2","2","2","2","-28","-27","-29","-29","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","63","141","1","13","0","0","62","139","1","13","0","0","0","0","13","28","0","2","0","0","0","0","0","0","0","0","3739","60781","0","0","82661","25619","135","135","0","0","0","0","0","0"
"IDKL103684_AGRA_I_C_I2C1 - IDKL102257_AGRA_I_C_I2C1","IDKL103684_AGRA_I_C_I2C1","IDKL103684","2402:8100:4000:0:0:1:1f40:1c21","Slot 2 / Port 1","IDKL102257_AGRA_I_C_I2C1","IDKL102257","2402:8100:4000:0:0:1:1f40:1c20","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","15299","14879","15117","14697","15341","14921","Disable","1","1","20","20","12","12","-31","-32","12","12","12","12","-30","-31","-32","-32","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","7","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","200.96","200.96","73","276","13","97","0","0","68","270","12","95","0","0","0","0","17","67","2","23","0","0","0","0","0","0","0","0","75359","85800","0","0","11040","599","111","111","0","0","0","0","0","0"
"INKA001802_KBAN_I_C_I2C1 - INKA003449_KBAN_I_C_I2C2","INKA001802_KBAN_I_C_I2C1","INKA001802","2402:8100:4000:0:0:f:1f00:23a5","Slot 2 / Port 1","INKA003449_KBAN_I_C_I2C2","INKA003449","2402:8100:4000:0:0:f:1f00:23a4","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14739","15159","14697","15117","14921","15341","Disable","1","1","18","18","5","5","-36","-38","5","5","5","5","-34","-36","-42","-44","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","103","257","10","49","0","0","100","253","9","47","0","0","0","0","20","52","1","9","0","0","0","0","0","0","0","0","68885","83470","0","0","17514","2929","135","135","0","0","0","0","0","0"
"INKL095981_EDAP_I_C_I2C1 - INKL001366_EDAP_I_C_I2C1","INKL095981_EDAP_I_C_I2C1","INKL095981","2402:8100:4000:0:0:1:1f40:1003","Slot 2 / Port 2","INKL001366_EDAP_I_C_I2C1","INKL001366","2402:8100:4000:0:0:1:1f40:1002","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14697","15117","14921","15341","Disable","1","1","20","20","19","19","-31","-33","19","19","19","19","-31","-33","-32","-35","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","9","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","226.72","226.72","91","274","11","99","0","0","89","269","10","97","0","0","0","0","19","59","1","20","0","0","0","0","0","0","0","0","71026","84349","0","0","15373","2050","125","125","0","0","0","0","0","0"
"IDKL100613_MOOK_I_C_I2C1 - INKL076741_MOOK_I_C_I2C1","IDKL100613_MOOK_I_C_I2C1","IDKL100613","2402:8100:4000:0:0:1:1f40:703","Slot 2 / Port 1","INKL076741_MOOK_I_C_I2C1","IDKL107115","2402:8100:4000:0:0:1:1f40:702","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14935","14515","14921","14501","15145","14725","Disable","1","1","18","18","12","12","-31","-32","12","12","12","12","-30","-31","-32","-33","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86400","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","49","317","11","109","0","0","47","311","10","107","0","0","0","0","9","64","1","21","0","0","0","0","0","0","0","0","69746","85732","0","0","16654","668","135","135","0","0","0","0","0","0"
"INKL300274_KALI_I_C_I2C1 - INKL076727_KALI_I_C_I2C1","INKL300274_KALI_I_C_I2C1","INKL300274","2402:8100:4000:0:0:1:1f40:641","Slot 2 / Port 2","INKL076727_KALI_I_C_I2C1","INKL076727","2402:8100:4000:0:0:1:1f40:640","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14543","14963","14501","14921","14725","15145","Disable","1","1","18","18","18","18","-30","-30","18","18","18","18","-28","-29","-31","-31","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86399","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","47","331","10","99","0","0","45","325","9","97","0","0","0","0","9","67","1","19","0","0","0","0","0","0","0","0","68155","84449","0","0","18244","1950","135","135","0","0","0","0","0","0"
"INKA003926_KBAN_I_C_I2C1 - INKA004269_KBAN_I_C_I2C1","INKA003926_KBAN_I_C_I2C1","INKA003926","2402:8100:4000:0:0:f:1f00:2045","Slot 2 / Port 1","INKA004269_KBAN_I_C_I2C1","INKA004269","2402:8100:4000:0:0:f:1f00:2044","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14907","15327","14697","15117","14921","15341","Disable","1","1","18","18","7","7","-32","-34","7","7","7","7","-31","-33","-40","-41","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","203","64","33","4","0","0","199","63","32","4","0","0","0","0","41","13","6","0","0","0","0","0","0","0","0","0","78051","49854","0","0","8349","36545","135","135","0","0","0","0","0","0"
"INKA007821_KBAN_I_C_I2C2 - INKA205011_KBAN_I_C_I2C1","INKA007821_KBAN_I_C_I2C2","INKA007821","2402:8100:4000:0:0:f:1f00:2507","Slot 2 / Port 1","INKA205011_KBAN_I_C_I2C1","INKA000598","2402:8100:4000:0:0:f:1f00:2506","Slot 2 / Port 1","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","22526","21294","22400","21200","23020","21800","Disable","1","1","16","16","1","1","-32","-34","1","1","1","1","-31","-33","-34","-36","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","86400","86399","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","216","60","37","5","0","0","212","58","36","4","0","0","0","0","44","12","6","0","0","0","0","0","0","0","0","0","77844","55927","0","0","8556","30472","135","135","0","0","0","0","0","0"
"IDKL105158_MAYY_I_C_I2C1 - IDKL100688_THAL_I_C_I2C1","IDKL105158_MAYY_I_C_I2C1","IDKL105158","2402:8100:4000:0:0:1:1f40:be1","Slot 2 / Port 2","IDKL100688_THAL_I_C_I2C1","IDKL100688","2402:8100:4000:0:0:1:1f40:be0","Slot 2 / Port 2","MC-ABC 2+0 / XPIC 2+0","RFU-20C","RFU-20C","14879","15299","14711","15131","14907","15327","Disable","1","1","18","18","13","13","-32","-31","13","13","13","13","-31","-31","-93","-92","mdN_A2828X_157_1504","mdN_A2828X_157_1504","Adaptive","N/A","10","0","0","0","0","0","73800","80099","0","0","0","0","243.123","243.123","672.601","672.601","672.601","243.12","243.12","67","396","16","137","0","0","65","389","14","135","0","0","67849","64724","13","80","2","27","100","100","0","0","0","0","0","0","71577","83879","0","0","13923","720","135","135","0","0","0","0","0","0"
